crop_name,Latitude,Longitude,status,source_db,database_id
triticum_turgidum,36.45222222,6.63555556,G,USDA,USDA_840
triticum_turgidum,36.45222222,6.63555556,G,USDA,USDA_841
triticum_turgidum,36.38166667,6.47416667,G,USDA,USDA_842
triticum_turgidum,35.43583333,7.14333333,G,USDA,USDA_843
triticum_turgidum,36.53361111,6.71055556,G,USDA,USDA_844
triticum_turgidum,36.45222222,6.63555556,G,USDA,USDA_846
triticum_turgidum,36.42388889,6.595,G,USDA,USDA_847
triticum_turgidum,36.05,4.96666667,G,USDA,USDA_848
triticum_turgidum,39.06666667,-8.86666667,G,USDA,USDA_851
triticum_turgidum,35.4167,5.96667,G,WIEWS,WIEWS_64
triticum_turgidum,36.6789,4.86111,G,WIEWS,WIEWS_80
triticum_turgidum,36.4333,7,G,WIEWS,WIEWS_146
triticum_turgidum,34.1969,2.04861,G,WIEWS,WIEWS_205
triticum_turgidum,35.25,0.08333,G,WIEWS,WIEWS_210
triticum_turgidum,35.3333,6.41667,G,WIEWS,WIEWS_228
triticum_turgidum,36.7167,4.26667,G,WIEWS,WIEWS_252
triticum_turgidum,35.65,8,G,WIEWS,WIEWS_261
triticum_turgidum,35.25,0.08333,G,WIEWS,WIEWS_278
triticum_turgidum,35.85,8.23333,G,WIEWS,WIEWS_280
triticum_turgidum,35.4833,6.91667,G,WIEWS,WIEWS_311
triticum_turgidum,35.35,6.41667,G,WIEWS,WIEWS_344
triticum_turgidum,36.3667,7.61667,G,WIEWS,WIEWS_362
triticum_turgidum,35.4833,6.91667,G,WIEWS,WIEWS_366
triticum_turgidum,36.4833,7.48333,G,WIEWS,WIEWS_391
triticum_turgidum,35.9333,3.71667,G,WIEWS,WIEWS_394
triticum_turgidum,34.7347,3.23,G,WIEWS,WIEWS_400
triticum_turgidum,34.5667,5.38333,G,WIEWS,WIEWS_420
triticum_turgidum,34.75,0.13333,G,WIEWS,WIEWS_439
triticum_turgidum,35.3333,7.21667,G,WIEWS,WIEWS_442
triticum_turgidum,36.7322,4.02389,G,WIEWS,WIEWS_454
triticum_turgidum,35.4167,7.9,G,WIEWS,WIEWS_516
triticum_turgidum,35.3333,7.21667,G,WIEWS,WIEWS_520
triticum_turgidum,36.1528,3.69722,G,WIEWS,WIEWS_542
triticum_turgidum,35.4,5.95,G,WIEWS,WIEWS_591
triticum_turgidum,34,3.16667,G,WIEWS,WIEWS_615
triticum_turgidum,36.05,8.11667,G,WIEWS,WIEWS_625
triticum_turgidum,34.8039,3.55472,G,WIEWS,WIEWS_643
triticum_turgidum,35.9167,3.8,G,WIEWS,WIEWS_657
triticum_turgidum,35.35,6.41667,G,WIEWS,WIEWS_659
triticum_turgidum,34.85,5.78333,G,WIEWS,WIEWS_727
triticum_turgidum,36.2667,7.88333,G,WIEWS,WIEWS_748
triticum_turgidum,35.3667,-0.5,G,WIEWS,WIEWS_800
triticum_turgidum,32.7506,0.53833,G,WIEWS,WIEWS_815
triticum_turgidum,34.8667,3.66667,G,WIEWS,WIEWS_818
triticum_turgidum,36.05,8.11667,G,WIEWS,WIEWS_823
triticum_turgidum,35.0853,4.46889,G,WIEWS,WIEWS_866
triticum_turgidum,35.2303,4.52194,G,WIEWS,WIEWS_896
triticum_turgidum,36.1,8.05,G,WIEWS,WIEWS_924
triticum_turgidum,36.1167,8.05,G,WIEWS,WIEWS_927
triticum_turgidum,35.45,4.38333,G,WIEWS,WIEWS_968
triticum_turgidum,35.5094,5.37556,G,WIEWS,WIEWS_1001
triticum_turgidum,36.0667,8.06667,G,WIEWS,WIEWS_1008
triticum_turgidum,35.15,6.28333,G,WIEWS,WIEWS_1017
triticum_turgidum,35.5094,5.37556,G,WIEWS,WIEWS_1068
triticum_turgidum,34.8,-0.13333,G,WIEWS,WIEWS_1071
triticum_turgidum,35.15,6.28333,G,WIEWS,WIEWS_1073
triticum_turgidum,36.4167,7.43333,G,WIEWS,WIEWS_1085
triticum_turgidum,35.4167,7.9,G,WIEWS,WIEWS_1090
triticum_turgidum,31.5333,-4.46667,G,WIEWS,WIEWS_1121
triticum_turgidum,34.15,-4.51667,G,WIEWS,WIEWS_1122
triticum_turgidum,33.8333,-6.28333,G,WIEWS,WIEWS_1123
triticum_turgidum,35.2831,-5.09111,G,WIEWS,WIEWS_1124
triticum_turgidum,34.7653,-3.78972,G,WIEWS,WIEWS_1127
triticum_turgidum,34.3728,-2.07972,G,WIEWS,WIEWS_1129
triticum_turgidum,31.7525,-5.49806,G,WIEWS,WIEWS_1130
triticum_turgidum,34.0167,-4.65,G,WIEWS,WIEWS_1135
triticum_turgidum,35.2594,-5.85861,G,WIEWS,WIEWS_1136
triticum_turgidum,31.55,-7.63333,G,WIEWS,WIEWS_1137
triticum_turgidum,34.3667,-4.15,G,WIEWS,WIEWS_1138
triticum_turgidum,35.3167,-4.96667,G,WIEWS,WIEWS_1141
triticum_turgidum,34.4333,-4.63278,G,WIEWS,WIEWS_1142
triticum_turgidum,33.43,-5.99778,G,WIEWS,WIEWS_1143
triticum_turgidum,34.5,-2.03333,G,WIEWS,WIEWS_1146
triticum_turgidum,34.3,-5.4,G,WIEWS,WIEWS_1147
triticum_turgidum,33,-5.96667,G,WIEWS,WIEWS_1148
triticum_turgidum,35.3667,-5.38333,G,WIEWS,WIEWS_1149
triticum_turgidum,34.05,-4.81667,G,WIEWS,WIEWS_1150
triticum_turgidum,33.7947,-4.90556,G,WIEWS,WIEWS_1151
triticum_turgidum,30.1167,-9.15,G,WIEWS,WIEWS_1153
triticum_turgidum,33.8667,-6.28333,G,WIEWS,WIEWS_1154
triticum_turgidum,31.3667,-9.21667,G,WIEWS,WIEWS_1155
triticum_turgidum,33.7,-6.28333,G,WIEWS,WIEWS_1158
triticum_turgidum,32.0333,-6.78333,G,WIEWS,WIEWS_1161
triticum_turgidum,30.7017,-8.15556,G,WIEWS,WIEWS_1164
triticum_turgidum,31.85,-6.13333,G,WIEWS,WIEWS_1166
triticum_turgidum,31.53,-4.95,G,WIEWS,WIEWS_1173
triticum_turgidum,31.8167,-8.61667,G,WIEWS,WIEWS_1180
triticum_turgidum,33.43,-5.99778,G,WIEWS,WIEWS_1183
triticum_turgidum,31.515,-5.015,G,WIEWS,WIEWS_1185
triticum_turgidum,33.6017,-5.33889,G,WIEWS,WIEWS_1186
triticum_turgidum,30.9667,-6.85,G,WIEWS,WIEWS_1188
triticum_turgidum,31.6667,-9.61667,G,WIEWS,WIEWS_1189
triticum_turgidum,34.15,-4.5,G,WIEWS,WIEWS_1190
triticum_turgidum,33.5167,-5.16667,G,WIEWS,WIEWS_1191
triticum_turgidum,30.6167,-5.33333,G,WIEWS,WIEWS_1192
triticum_turgidum,34.15,-4.51667,G,WIEWS,WIEWS_1194
triticum_turgidum,34.6833,-4.2,G,WIEWS,WIEWS_1196
triticum_turgidum,35.5667,-5.7,G,WIEWS,WIEWS_1197
triticum_turgidum,32.0333,-6.21667,G,WIEWS,WIEWS_1198
triticum_turgidum,32.5,-7.16667,G,WIEWS,WIEWS_1200
triticum_turgidum,34.7167,-3.81667,G,WIEWS,WIEWS_1201
triticum_turgidum,33.9,-6.3,G,WIEWS,WIEWS_1202
triticum_turgidum,32.0833,-8.63333,G,WIEWS,WIEWS_1203
triticum_turgidum,35.0039,-3.60361,G,WIEWS,WIEWS_1204
triticum_turgidum,34.7333,-2.03333,G,WIEWS,WIEWS_1207
triticum_turgidum,34.7653,-3.78972,G,WIEWS,WIEWS_1209
triticum_turgidum,32.9167,-6.55,G,WIEWS,WIEWS_1212
triticum_turgidum,31.9833,-6.58333,G,WIEWS,WIEWS_1213
triticum_turgidum,30.6925,-6.20056,G,WIEWS,WIEWS_1215
triticum_turgidum,32.9833,-8.41667,G,WIEWS,WIEWS_1216
triticum_turgidum,32.2333,-5.66667,G,WIEWS,WIEWS_1217
triticum_turgidum,31.65,-4.16667,G,WIEWS,WIEWS_1218
triticum_turgidum,35.045,-5.12333,G,WIEWS,WIEWS_1221
triticum_turgidum,34.75,-4.1,G,WIEWS,WIEWS_1223
triticum_turgidum,31.6667,-9.61667,G,WIEWS,WIEWS_1225
triticum_turgidum,32.3167,-7.98333,G,WIEWS,WIEWS_1228
